Date,Volume,sign
2021-08-23,65362000,1
2021-08-24,51036000,1
2021-08-25,33606000,0
2021-08-26,41976000,1
2021-08-27,48048000,1
2021-08-30,63844000,1
2021-08-31,87128000,1
2021-09-01,72598000,0
2021-09-02,58474000,0
2021-09-03,51514000,1
2021-09-07,54758000,1
2021-09-08,61068000,1
2021-09-09,54384000,0
2021-09-10,47946000,0
2021-09-13,51380000,0
2021-09-14,38738000,0
2021-09-15,59150000,1
2021-09-16,51672000,1
2021-09-17,92332000,0
2021-09-20,93382000,0
2021-09-21,55618000,0
2021-09-22,48228000,1
2021-09-23,47588000,1
2021-09-24,42324000,1
2021-09-27,72690000,1
2021-09-28,88616000,0
2021-09-29,51246000,0
2021-09-30,56848000,0
2021-10-01,56712000,0
2021-10-04,90462000,0
2021-10-05,65384000,1
2021-10-06,50660000,1
2021-10-07,48182000,1
2021-10-08,39964000,0
2021-10-11,40684000,0
2021-10-12,36392000,0
2021-10-13,48402000,1
2021-10-14,42190000,0
2021-10-15,103598000,1
2021-10-18,63482000,1
2021-10-19,47722000,1
2021-10-20,42796000,0
2021-10-21,37628000,1
2021-10-22,62782000,0
2021-10-25,44520000,0
2021-10-26,53966000,1
2021-10-27,54044000,1
2021-10-28,114174000,1
2021-10-29,129722000,1
2021-11-01,72178000,0
2021-11-02,52552000,0
2021-11-03,67944000,1
2021-11-04,107060000,1
2021-11-05,99940000,1
2021-11-08,61480000,0
2021-11-09,85898000,1
2021-11-10,80548000,0
2021-11-11,45288000,0
2021-11-12,53788000,1
2021-11-15,58594000,1
2021-11-16,44342000,1
2021-11-17,51206000,0
2021-11-18,114070000,1
2021-11-19,98734000,0
2021-11-22,96844000,0
2021-11-23,73804000,0
2021-11-24,46560000,1
2021-11-26,59826000,0
2021-11-29,65312000,1
2021-11-30,80022000,0
2021-12-01,74916000,0
2021-12-02,64726000,0
2021-12-03,80712000,0
2021-12-06,68860000,1
2021-12-07,66410000,1
2021-12-08,45254000,1
2021-12-09,46062000,0
2021-12-10,60690000,0
2021-12-13,62170000,0
2021-12-14,55976000,1
2021-12-15,75794000,1
2021-12-16,60876000,0
2021-12-17,85542000,1
2021-12-20,57372000,1
2021-12-21,55956000,1
2021-12-22,55036000,1
2021-12-23,36788000,1
2021-12-27,58688000,0
2021-12-28,54638000,1
2021-12-29,35754000,0
2021-12-30,37584000,0
2021-12-31,47830000,0
2022-01-03,63520000,1
2022-01-04,70726000,0
2022-01-05,64302000,0
2022-01-06,51958000,0
2022-01-07,46606000,0
2022-01-10,87798000,1
2022-01-11,62806000,1
2022-01-12,50030000,0
2022-01-13,52188000,0
2022-01-14,45974000,1
2022-01-18,67292000,0
2022-01-19,53242000,0
2022-01-20,71974000,0
2022-01-21,163972000,0
2022-01-24,155624000,1
2022-01-25,90824000,0
2022-01-26,95602000,0
2022-01-27,77516000,0
2022-01-28,74392000,1
2022-01-31,78308000,1
2022-02-01,59220000,1
2022-02-02,87330000,0
2022-02-03,225532000,0
2022-02-04,253456000,1
2022-02-07,102624000,0
2022-02-08,76040000,1
2022-02-09,68786000,0
2022-02-10,68268000,1
2022-02-11,77100000,0
2022-02-14,83230000,1
2022-02-15,56440000,0
2022-02-16,52704000,1
2022-02-17,64032000,0
2022-02-18,63604000,0
2022-02-22,66128000,0
2022-02-23,64244000,0
2022-02-24,100786000,1
2022-02-25,62396000,1
2022-02-28,57684000,1
2022-03-01,44874000,0
2022-03-02,47334000,1
2022-03-03,65198000,0
2022-03-04,60934000,0
2022-03-07,86934000,0
2022-03-08,91662000,0
2022-03-09,82656000,0
2022-03-10,135062000,1
2022-03-11,68900000,0
2022-03-14,74086000,0
2022-03-15,75584000,1
2022-03-16,84958000,1
2022-03-17,72934000,1
2022-03-18,102962000,1
2022-03-21,66538000,1
2022-03-22,64086000,1
2022-03-23,55812000,0
2022-03-24,56798000,0
2022-03-25,49032000,1
2022-03-28,59854000,1
2022-03-29,66154000,0
2022-03-30,56168000,0
2022-03-31,59966000,0
2022-04-01,57090000,0
2022-04-04,49882000,1
2022-04-05,53728000,0
2022-04-06,79056000,0
2022-04-07,68136000,0
2022-04-08,46002000,0
2022-04-11,52112000,0
2022-04-12,55178000,0
2022-04-13,53390000,1
2022-04-14,51598000,0
2022-04-18,46514000,1
2022-04-19,54926000,1
2022-04-20,59630000,0
2022-04-21,63970000,0
2022-04-22,73078000,0
2022-04-25,61874000,1
2022-04-26,77530000,0
2022-04-27,71336000,0
2022-04-28,117316000,1
2022-04-29,272662000,0
2022-05-02,148788000,1
2022-05-03,79134000,1
2022-05-04,110746000,1
2022-05-05,144392000,0
2022-05-06,124260000,0
2022-05-09,128124000,0
2022-05-10,105434000,0
2022-05-11,109704000,0
2022-05-12,132026000,1
2022-05-13,93684000,1
2022-05-16,74566000,0
2022-05-17,76448000,1
2022-05-18,108380000,0
2022-05-19,88142000,1
2022-05-20,99500000,0
2022-05-23,107798000,0
2022-05-24,102934000,1
2022-05-25,93120000,1
2022-05-26,93002000,1
2022-05-27,93660000,1
2022-05-31,144634000,1
2022-06-01,127528000,0
2022-06-02,100560000,1
2022-06-03,97604000,0
2022-06-06,135269000,0
2022-06-07,85156700,1
2022-06-08,64926600,0
2022-06-09,67029800,0
2022-06-10,87266000,0
2022-06-13,99277700,0
2022-06-14,69728800,0
2022-06-15,85011100,1
2022-06-16,82186300,0
2022-06-17,99772100,1
2022-06-21,70901200,1
2022-06-22,60040100,1
2022-06-23,64345300,1
2022-06-24,69867600,1
2022-06-27,62133200,0
2022-06-28,74942900,0
2022-06-29,66375300,1
2022-06-30,97679400,0
2022-07-01,73021200,1
2022-07-05,76583700,1
2022-07-06,66958900,1
2022-07-07,57872300,1
2022-07-08,45719700,1
2022-07-11,53487600,0
2022-07-12,54280300,0
2022-07-13,61353800,1
2022-07-14,51163100,1
2022-07-15,84317800,1
2022-07-18,59115400,0
2022-07-19,60990000,1
2022-07-20,71268300,1
2022-07-21,60239900,1
2022-07-22,51463800,0
2022-07-25,50221300,0
2022-07-26,67075100,0
2022-07-27,61582000,1
2022-07-28,82245500,1
2022-07-29,148715600,1
2022-08-01,76846900,1
2022-08-02,61922400,0
2022-08-03,71827800,1
2022-08-04,70585000,1
2022-08-05,50650100,1
2022-08-08,52229000,0
2022-08-09,40434700,0
2022-08-10,54773800,0
2022-08-11,44867300,0
2022-08-12,47582800,1
2022-08-15,39014600,1
2022-08-16,59102900,1
2022-08-17,48149800,0
2022-08-18,37458700,1
2022-08-19,47727300,0
